CountyDistrictSchool|School Year|HAL Percentage
570501000|20122013|-1.0000
580025000|20122013|-1.0000
590001000|20122013|0.0200
590002000|20122013|0.1721
590005000|20122013|0.1290
590013000|20122013|-1.0000
590080000|20122013|0.1130
600090000|20122013|0.2062
610004000|20122013|0.0799
610049000|20122013|0.2009
620021000|20122013|-1.0000
620063000|20122013|0.1004
630001000|20122013|0.2088
630030000|20122013|0.0989
640023000|20122013|0.0468
640029000|20122013|0.0981
650011000|20122013|0.2182
652005000|20122013|0.0277
660027000|20122013|0.2674
660111000|20122013|0.0681
660501000|20122013|0.0465
670001000|20122013|0.0582
670069000|20122013|0.0964
680020000|20122013|0.0432
690044000|20122013|0.1487
690054000|20122013|0.1790
690055000|20122013|0.1170
700002000|20122013|0.0801
700005000|20122013|0.2741
700542000|20122013|0.1953
710001000|20122013|0.1308
710005000|20122013|0.1287
710067000|20122013|0.0560
720015000|20122013|0.2108
720019000|20122013|0.3918
720032000|20122013|0.1144
720075000|20122013|0.1798
730017000|20122013|0.1719
730179000|20122013|-1.0000
740056000|20122013|0.1197
740070000|20122013|0.1212
750100000|20122013|0.2391
760002000|20122013|0.1469
760044000|20122013|0.2308
760068000|20122013|0.0682
760082000|20122013|0.1213
770001000|20122013|0.1387
770027000|20122013|0.1156
770037000|20122013|0.1169
770046000|20122013|0.1732
780001000|20122013|0.2769
780009000|20122013|0.1356
780039000|20122013|0.0932
780072000|20122013|0.0669
780107000|20122013|0.2394
790002000|20122013|-1.0000
790011000|20122013|-1.0000
790016000|20122013|0.0921
790031000|20122013|0.0595
790032000|20122013|0.0404
800005000|20122013|0.0981
800009000|20122013|0.0643
800567000|20122013|0.1192
810003000|20122013|0.1594
810010000|20122013|0.2356
820001000|20122013|0.0871
820015000|20122013|0.0909
830500000|20122013|0.1495
840003000|20122013|0.1286
850060000|20122013|0.3448
